the_official_name,gdelt_name,cyber_news_count,cited_by_count,works_count,log_cited_by_count,log_works_count,country,match_score,prestige_tier
University of Florence,University Of Florence,7,10591124,142902,16.17552694,11.86992136,IT,100,Elite (5M+)
University of Florida,University Of Florida,45,30411866,359928,17.23034345,12.79366207,US,100,Elite (5M+)
University of Florida Health,University Of Florida Health,6,1087732,15543,13.89960627,9.651429991,US,100,High (1M-5M)
University of Geneva,University Of Geneva,10,15591422,131504,16.56223151,11.78680015,CH,100,Elite (5M+)
University of Genoa,University Of Genoa,15,7528648,100631,15.83422617,11.51922558,IT,100,Elite (5M+)
University of Georgia,University Of Georgia,29,11835627,141386,16.28662486,11.85925609,US,100,Elite (5M+)
University of Ghana,University Of Ghana,11,1123716,39273,13.9321525,10.578318,GH,100,High (1M-5M)
University of Glasgow,University Of Glasgow,13,22934500,192699,16.94815293,12.16888985,GB,100,Elite (5M+)
University of Gloucestershire,University Of Gloucestershire,13,182576,5831,12.11492728,8.671115274,GB,100,Medium (100K-1M)
University of Greenwich,University Of Greenwich,6,777323,21292,13.56361253,9.966133659,GB,100,Medium (100K-1M)
University of Groningen,University Groningen,4,20216965,181365,16.82203271,12.10827237,NL,95,Elite (5M+)
University of Guam,University Of Guam,3,106512,4060,11.57602232,8.309184528,GU,100,Medium (100K-1M)
University of Guelph,University Of Guelph,22,6185657,94495,15.63774394,11.45631278,CA,100,Elite (5M+)
University of Haifa,Haifa University; University Of Haifa,14,1966798,49460,14.49191791,10.80893976,IL,95,High (1M-5M)
University of Hawaii Maui College,University Of Hawai; University Of Hawaii Maui College,23,9006,362,9.105757332,5.894402834,US,90,Low (<100K)
University of Hawaii System,University Of Hawaii,22,5910062,61639,15.59216705,11.02906629,US,95,Elite (5M+)
University of Helsinki,University Of Helsinki,4,21600270,220233,16.88821642,12.3024459,FI,100,Elite (5M+)
University of Hertfordshire,University Of Hertfordshire,7,1647342,33014,14.31467424,10.40471728,GB,100,High (1M-5M)
University of Hong Kong,University Of Hong Kong,11,21875735,228922,16.90088864,12.34114098,HK,100,Elite (5M+)
University of Houston,University Of Houston,30,6579624,104201,15.69948831,11.5540866,US,100,Elite (5M+)
University of Hull,University Of Hull,4,2133301,46890,14.57318157,10.75558104,GB,100,High (1M-5M)
University of Ibadan,University Of Ibadan,11,1435267,51327,14.17686215,10.84599169,NG,100,High (1M-5M)
University of Idaho,University Of Idaho,39,2130448,46264,14.57184331,10.74214101,US,100,High (1M-5M)
University of Illinois Chicago,University Of Illinois; University Of Illinois At Chicago; University Of Illinois Chicago,50,17469178,197933,16.67594869,12.19568892,US,95,Elite (5M+)
University of Illinois Urbana-Champaign,University Of Illinois At Urbana-Champaign; University Of Illinois Urbana-Champaign,31,32222247,331081,17.2881677,12.71012136,US,96,Elite (5M+)
University of Ilorin,University Of Ilorin; University Of Lorraine,24,384194,21777,12.85890552,9.988655565,NG,90,Medium (100K-1M)
University of Indonesia,University Indonesia; University Of Indonesia,13,1389368,91908,14.14436025,11.42855424,ID,95,High (1M-5M)
University of Iowa,University Of Iowa,16,18806793,192221,16.74972875,12.16640623,US,100,Elite (5M+)
University of Johannesburg,University Of Johannesburg,22,1901864,110766,14.45834554,11.61518417,ZA,100,High (1M-5M)
University of Kansas,Kansas University; University Of Arkansas; University Of Kansas; University Of Kansas School Of Engineering,68,7805301,115489,15.8703138,11.65693923,US,90,Elite (5M+)
University of Kashmir,University Of Kashmir,3,506727,14087,13.13572965,9.55307865,IN,100,Medium (100K-1M)
University of Kent,University Of Kent; University Of Kentucky Information Technology Services,30,2099036,54737,14.55698923,10.91031345,GB,90,High (1M-5M)
University of Kentucky,University Of Kentucky,26,10848172,162523,16.19950724,11.99858096,US,100,Elite (5M+)
University of KwaZulu-Natal,University Of Kwazulu,6,3856170,81955,15.16518528,11.3139378,ZA,95,High (1M-5M)
University of Lagos,University Of Lagos,11,498918,27572,13.12019904,10.22459231,NG,100,Medium (100K-1M)
University of Lancashire,University Of Central Lancashire,11,848701,19181,13.6514634,9.861727618,GB,95,Medium (100K-1M)
University of Latvia,Latvia University; University Of Latvia; University Of Latvia Institute Of Mathematics,11,589665,24145,13.28731155,10.09187401,LV,90,Medium (100K-1M)
University of Lausanne,University Of Lausanne,13,9746357,104590,16.09240423,11.55781278,CH,100,Elite (5M+)
University of Leeds,University Of Leeds,14,13752848,194791,16.43675656,12.1796876,GB,100,Elite (5M+)
University of Leicester,University Of Leicester,4,8263407,106556,15.92734765,11.57643533,GB,100,Elite (5M+)
University of Lethbridge,University Of Lethbridge,4,786570,16790,13.57543827,9.728598308,CA,100,Medium (100K-1M)
University of Liberal Arts Bangladesh,University Of Liberal Arts Bangladesh,3,16285,1341,9.698061122,7.201916318,BD,100,Low (<100K)
University of Limerick,University Of Limerick,22,1507290,37365,14.22582456,10.52851648,IE,100,High (1M-5M)
University of Liverpool,University Of Liverpool,8,17683906,220601,16.68816557,12.30411545,GB,100,Elite (5M+)
University of Louisiana at Lafayette,University Of Louisiana,4,476378,15488,13.07396903,9.647885374,US,90,Medium (100K-1M)
University of Louisville,University Of Louisville,19,5609153,73793,15.53991046,11.20903271,US,100,Elite (5M+)
University of Luxembourg,University Of Luxembourg; University Of Luxembourg Interdisciplinary Centre For Security,22,1560580,63165,14.26056875,11.05352146,LU,90,High (1M-5M)
University of Madras,University Of Madras,3,908450,21603,13.71949623,9.980633762,IN,100,Medium (100K-1M)
University of Maine,University Of Maine,4,1815512,33739,14.41187863,10.42643936,US,100,High (1M-5M)
University of Maine at Augusta,University Of Maine At Augusta,9,9295,567,9.137339479,6.342121419,US,100,Low (<100K)
University of Maine at Presque Isle,University Of Maine At Presque Isle,3,10130,608,9.223355309,6.411818268,US,100,Low (<100K)
University of Malta,University Of Malta,10,559355,30374,13.2345414,10.32137518,MT,100,Medium (100K-1M)
University of Manchester,England University Of Manchester; University Of Manchester,44,28611202,313136,17.16930891,12.65439607,GB,95,Elite (5M+)
University of Manitoba,University Of Manitoba,10,7534084,116297,15.83494795,11.66391114,CA,100,Elite (5M+)
University of Mary Washington,University Of Mary Washington,5,81106,2669,11.30352455,7.889833751,US,100,Low (<100K)
University of Maryland Eastern Shore,University Of Maryland Eastern Shore,3,87440,3365,11.37871956,8.121480375,US,100,Low (<100K)
University of Maryland Global Campus,University Of Maryland Global Campus,26,4152,803,8.331586244,6.689599269,US,100,Low (<100K)
