the_official_name,gdelt_name,cyber_news_count,cited_by_count,works_count,log_cited_by_count,log_works_count,country,match_score,prestige_tier
Harrisburg University of Science and Technology,Harrisburg University; Harrisburg University Of Science; University Of Science,29,29411,2097,10.289158033316111,7.648739788956242,US,90,Low (<100K)
Harvard University,Belfer Centre At Harvard University; Harvard University; Harvard University Belfer Center Cyber; Harvard University Berkman Klein Center; University Of Harvard,89,143061250,702852,18.77878342518897,13.462903045086865,US,90,Elite (5M+)
Hebrew University of Jerusalem,Hebrew University; Hebrew University Of Jerusalem; University Hebrew Of Jerusalem,28,11158255,147868,16.2276902303042,11.904082025647703,IL,90,Elite (5M+)
Heriot-Watt University,Watt University,9,1832481,34866,14.421181890048045,10.459296102128596,GB,95,High (1M-5M)
Hillsdale College,Hillsdale College,4,126951,994,11.75156434124268,6.902742737158593,US,100,Medium (100K-1M)
Hofstra University,Hofstra University,16,824608,22426,13.622664613578106,10.018020869126287,US,100,Medium (100K-1M)
Holon Institute of Technology,Holon Institute Of Technology,5,97834,4364,11.4910376652122,8.381373468273702,IL,100,Low (<100K)
Hong Kong Polytechnic University,Polytechnic University; University Polytechnic,17,9257669,152438,16.04096295509036,11.934519795008264,HK,95,Elite (5M+)
Hope College,He College; Hope College,8,204179,4942,12.226757236723008,8.505727713306959,US,91,Medium (100K-1M)
Howard University,Howard University,33,1258231,28965,14.04521811895313,10.273878007360802,US,100,High (1M-5M)
Hunter College,Hunter College,4,981834,22857,13.797178548778996,10.037056444457544,US,100,Medium (100K-1M)
Illinois Institute of Technology,Illinois Institute Of Technology,14,1691219,35069,14.340960719950608,10.465101343134224,US,100,High (1M-5M)
Illinois Valley Community College,Illinois Valley Community College,8,746,65,6.616065185132817,4.189654742026425,US,100,Low (<100K)
Imperial College London,Imperial College; Imperial College London,50,41729297,385088,17.54671402999633,12.861229755385692,GB,95,Elite (5M+)
Indian Institute of Technology Bombay,Indian Institute Of Technology Bombay,3,3060028,65343,14.93393495100784,11.087420901524338,IN,100,High (1M-5M)
Indian Institute of Technology Jodhpur,Indian Institute Of Technology Jodhpur,3,208401,8825,12.24722418574428,9.085457189829492,IN,100,Medium (100K-1M)
Indian Institute of Technology Kanpur,Indian Institute Of Technology Kanpur,9,2354559,52101,14.671864431458491,10.8609586147206,IN,100,High (1M-5M)
Indian Institute of Technology Kharagpur,Indian Institute Of Technology,42,3463807,71390,15.057879119876583,11.175927089962483,IN,95,High (1M-5M)
Indian Institute of Technology Madras,Indian Institute Of Technology Madras,7,2609992,67245,14.774858097302944,11.116112816141204,IN,100,High (1M-5M)
Indiana University Bloomington,Indiana University Bloomington,6,10958381,109166,16.20961520084887,11.600634098819787,US,100,Elite (5M+)
Indiana University of Pennsylvania,Indiana University Of Pennsylvania,10,136936,6748,11.82727624503038,8.817149624743406,US,100,Medium (100K-1M)
Indiana University – Purdue University Indianapolis,Indiana University; Purdue University; Purdue University Indianapolis,133,13891482,145465,16.44678647648989,11.88769766131102,US,90,Elite (5M+)
Innsbruck Medical University,University Innsbruck,6,4231643,38491,15.258101127998918,10.558205706476292,AT,95,High (1M-5M)
International Islamic University Malaysia,Islamic University,3,667312,33419,13.41101448019452,10.416909802149386,MY,90,Medium (100K-1M)
Italian University Line,University Italian; University Line,10,6715,343,8.812248018197431,5.840641657373398,IT,90,Low (<100K)
Ithaca College,Ithaca College,4,922290,13745,13.734616070963035,9.52850315168155,US,100,Medium (100K-1M)
Ivy Tech Community College of Indiana,Ivy Tech Community College,12,8402,421,9.03634406392822,6.045005314036012,US,95,Low (<100K)
Jacksonville University,Jacksonville University,3,213684,6945,12.272258246985931,8.845921233304018,US,100,Medium (100K-1M)
"Jawaharlal Nehru Technological University, Hyderabad",Jawaharlal Nehru Technological University,3,224758,13686,12.32278399602599,9.524201756211266,IN,95,Medium (100K-1M)
Johns Hopkins University,Thomas Rid Of Johns Hopkins University; University Hopkins; University Johns Hopkins,21,76253284,496222,18.149571054491005,13.114780701442912,US,90,Elite (5M+)
KTH Royal Institute of Technology,Royal Institute Of Technology,7,8337678,116356,15.936295438240922,11.664418330221086,SE,95,Elite (5M+)
Kadir Has University,University Has,4,67219,4055,11.115726101279096,8.30795254527102,TR,95,Low (<100K)
Kaimosi Friends University,Friends University,6,2795,477,7.935945103353701,6.169610732491456,KE,95,Low (<100K)
Kaunas University of Technology,Kaunas University Of Technology,3,550476,18856,13.218540454072237,9.844639476726922,LT,100,Medium (100K-1M)
Kean University,Cybersecurity At Kean University; Kean University,9,74940,4426,11.224456416267188,8.395477432732141,US,90,Low (<100K)
Keio University,Keio University,6,7366587,119681,15.812465199029822,11.69259350429862,JP,100,Elite (5M+)
Kenyatta University,Kenyatta University,3,182732,13825,12.11578135002928,9.53430615650521,KE,100,Medium (100K-1M)
Kenyon College,Kenyon College,12,604859,3969,13.312752305276042,8.286521373681236,US,100,Medium (100K-1M)
Khalifa University of Science and Technology,Khalifa University Of Science,3,1026450,34616,13.841617779279854,10.452100169862778,AE,90,High (1M-5M)
Kim Il-sung University,Kim Il Sung University,5,17612,761,9.776392544732296,6.635946555686647,KP,100,Low (<100K)
Knox College,Knox College,6,61856,1850,11.032580548457824,7.523481312573497,US,100,Low (<100K)
Korea University,Korea University,14,9679964,116793,16.085568843543744,11.668166978193774,KR,100,Elite (5M+)
Kuwait College of Science and Technology,Kuwait College Of Science,3,40579,2130,10.611030613379803,7.664346632098617,KW,90,Low (<100K)
Kuwait University,Kuwait University,7,1076850,29446,13.88955159930675,10.290347316318725,KW,100,High (1M-5M)
Kyoto University of Education,University Education,3,1067366,13815,13.880705426158984,9.533582619826516,JP,95,High (1M-5M)
La Trobe University,Trobe University,9,4316346,95816,15.27792000064552,11.470195401243164,AU,95,High (1M-5M)
Lafayette College,Lafayette College,4,203176,7876,12.22183279930373,8.971702399703325,US,100,Medium (100K-1M)
Lakehead University,Lakehead University,3,711557,16247,13.475212211109527,9.69572510326022,CA,100,Medium (100K-1M)
Lamar University,Lamar University,5,316356,7987,12.664626601720771,8.985695694535705,US,100,Medium (100K-1M)
Lancaster University,Lancaster University; Lancaster University Management School; University Of Lancaster,35,6310995,84105,15.6578040667522,11.339833187054728,GB,90,Elite (5M+)
Laramie County Community College,Laramie County Community College,5,2078,134,7.639642287858013,4.90527477843843,US,100,Low (<100K)
Laurentian University,Laurentian University,6,687662,13519,13.441054171330348,9.511925349596956,CA,100,Medium (100K-1M)
Lebanese French University,French University,4,32202,1859,10.379814894894524,7.528331766707247,IQ,90,Low (<100K)
Lehigh Carbon Community College,Lehigh Carbon Community College,3,424,47,6.052089168924417,3.871201010907891,US,100,Low (<100K)
Lehigh University,Lehigh University,9,2267232,42877,14.634070703211354,10.666114152865877,US,100,High (1M-5M)
Leiden University,Leiden University; University Of Leiden,19,11827133,145696,16.28590694117668,11.889284401717369,NL,95,Elite (5M+)
Leipzig University,University Leipzig,4,6316510,127186,15.658677556721464,11.753413723407393,DE,95,Elite (5M+)
Lewis University,Lewis University,9,27018,1655,10.204295601206814,7.412160334945205,US,100,Low (<100K)
Lewis and Clark Community College,Lewis Clark Community College,3,580,38,6.364750756851911,3.6635616461296463,US,95,Low (<100K)
Liberty University,Liberty University; Strategic Leadership At Liberty University,10,35558,5807,10.47894856774761,8.666991556504632,US,90,Low (<100K)
Lincoln College,Lincoln College,17,25715,2117,10.154868645261578,7.658227526161352,US,100,Low (<100K)
Lincoln Land Community College,Lincoln Land Community College,3,1230,104,7.115582126184454,4.653960350157523,US,100,Low (<100K)
Lincoln University,Lincoln University; University Of Lincoln,11,763921,12655,13.546220968695849,9.445886690007436,NZ,95,Medium (100K-1M)
Liverpool John Moores University,Liverpool John Moores University,6,2022257,38198,14.51972526686199,10.550564616241545,GB,100,High (1M-5M)
London South Bank University,London South Bank University,3,444573,15122,13.004871799270076,9.62397204275074,GB,100,Medium (100K-1M)
Longwood University,Longwood University,4,71709,2106,11.18038548687662,7.653020413804189,US,100,Low (<100K)
Loras College,Loras College,3,7643,653,8.941676305360163,6.483107351457199,US,100,Low (<100K)
Loughborough University,Loughborough University,12,3726525,90407,15.130986990335764,11.412088038039986,GB,100,High (1M-5M)
Loyola University Chicago,Loyola University; Loyola University Chicago,12,2618977,48685,14.778294723301835,10.793146793409363,US,95,High (1M-5M)
M S Ramaiah University of Applied Sciences,University Of Applied Sciences,6,153233,9433,11.939721443780222,9.152075463844207,IN,95,Medium (100K-1M)
Maastricht University,Able University Maastricht; Able University Of Maastricht; Maastricht University; University Maastricht; University Of Maastricht,55,10904924,113604,16.204725080015123,11.640482798385104,NL,95,Elite (5M+)
"Mackay Junior College of Medicine, Nursing and Management",Junior College,3,116828,3075,11.668466606229211,8.031385330625534,TW,90,Medium (100K-1M)
Macquarie University,Macquarie University,23,5369727,101217,15.496287813433115,11.525031885631938,AU,100,Elite (5M+)
Marquette University,Marquette University,4,1211509,35776,14.007378073434944,10.485060507823594,US,100,High (1M-5M)
Marshall University,Marshall University,34,433832,12575,12.980414946404132,9.439545514668987,US,100,Medium (100K-1M)
Martin University,Martin University,4,234857,4213,12.366736355171325,8.346167594364134,US,100,Medium (100K-1M)
Marymount University,Marymount University,9,1553895,40610,14.25627588360329,10.611794244853897,US,100,High (1M-5M)
Maryville University,Marseille University; Maryville University,13,13396,761,9.502786080276984,6.635946555686647,US,90,Low (<100K)
Massachusetts Institute of Technology,Massachusetts Institute Of Technology,82,64172847,346122,17.97709075085186,12.75454948219727,US,100,Elite (5M+)
Massey University,Massey University,4,2790913,54064,14.841879698715164,10.897942305379637,NZ,100,High (1M-5M)
McGill University,Mcgill University,18,27193058,294675,17.118472314877764,12.5936317266582,CA,100,Elite (5M+)
McMaster University,Mcmaster University,6,18140263,182106,16.71364455601835,12.11234970539424,CA,100,Elite (5M+)
Memorial University of Newfoundland,Memorial University,5,2804568,58238,14.846760430943972,10.972310512393486,CA,90,High (1M-5M)
Mercer University,Mercer University,10,358521,8634,12.789745303945084,9.06357899058078,US,100,Medium (100K-1M)
